scope	initial_status	final_state	category	path	origin_evidence	disposition
initial	M	M	A	.gitignore	AOS-2026-0131 Gmail draft policy plus stabilization runtime boundary	commit group 1
initial	M	M	A	connectors/CONNECTORS.md	AOS-2026-0131 Gmail draft contract	commit group 2
initial	M	M	A	connectors/NATURAL_LANGUAGE_CONNECTOR_PROMPT.md	AOS-2026-0131 Gmail draft routing	commit group 2
initial	M	M	A	connectors/composio_access_adapter.py	AOS-2026-0131 draft-only authority; focused tests pass	commit group 2
initial	M	M	A	connectors/composio_access_spine.md	AOS-2026-0131 adapter documentation	commit group 2
initial	M	M	A	connectors/composio_tool_registry.json	AOS-2026-0131 validated action catalog; JSON valid	commit group 2
initial	M	M	I	connectors/telegram_bridge/telegram_bridge.py	AOS-2026-0147/0152/0160 plus AOS-2026-0164/0165 and 0168 accepted Telegram/routing repairs; authorized reconciliation repaired timeout and attachment containment	commit group 3
initial	M	M	A	context/ACCESS_MODEL.md	accepted access/routing decisions	commit group 3
initial	M	M	A	context/OPERATING_BASELINE.md	accepted orchestration/runtime baseline	commit group 3
initial	M	M	A	context/RUNTIME_STATUS.md	accepted live runtime status documentation	commit group 3
initial	M	M	A	dashboard/backend/main.py	AOS-2026-0164/0165 and 0168-0173 routing/review/lane work; backend suite passes	commit group 3
initial	M	M	A	dashboard/backend/test_composio_hermes.py	acceptance coverage for routing/review/runtime	commit group 3
initial	M	M	A	dashboard/frontend/src/App.jsx	AOS-2026-0170/0171 lane routing and shell integration	commit group 4
initial	M	M	A	dashboard/frontend/src/api.js	AOS-2026-0168/0172 review and lane actions	commit group 4
initial	M	M	A	dashboard/frontend/src/components/DashboardKit.jsx	AOS-2026-0164/0168 dashboard contract	commit group 4
initial	M	M	A	dashboard/frontend/src/components/HumanReviewCard.jsx	AOS-2026-0168 review-card repair; browser proof and tests pass	commit group 4
initial	M	M	A	dashboard/frontend/src/queueState.js	AOS-2026-0165 queue state repair	commit group 4
initial	M	M	A	dashboard/frontend/src/reviewCardState.js	AOS-2026-0168 explicit review actions	commit group 4
initial	M	M	A	dashboard/frontend/src/shellState.js	AOS-2026-0170/0171 route persistence	commit group 4
initial	M	M	A	dashboard/frontend/src/views/DashboardV1.jsx	AOS-2026-0170 lane cards	commit group 4
initial	M	M	A	dashboard/frontend/src/views/Queue.jsx	AOS-2026-0164/0165/0168 queue and review UX	commit group 4
initial	M	M	A	dashboard/frontend/tests/queueState.test.js	AOS-2026-0165 regression coverage	commit group 4
initial	M	M	A	dashboard/frontend/tests/reviewCard.test.js	AOS-2026-0168 review behavior coverage	commit group 4
initial	M	M	A	dashboard/frontend/tests/shellState.test.js	AOS-2026-0170/0171 shell routing coverage	commit group 4
initial	M	M	A	decisions/DECISIONS.md	accepted routing, launcher, Gmail, and dashboard decisions	commit group 3
initial	M	M	I	queue/command_routes.json	AOS-2026-0168 deterministic routing contract; authorized reconciliation aligned route labels and proved no duplicates/shadows	commit group 3
initial	M	M	I	queue/lane_profiles.json	AOS-2026-0168 scoped aos-orchestrator contract; authorized reconciliation added unassigned fallback alignment	commit group 3
initial	M	M	I	queue/model_routes.json	AOS-2026-0168 model-route contract; authorized reconciliation added the accepted ops alias and validated caller resolution	commit group 3
initial	M	M	D	queue/rollups/week-2026-W29.json	Phase 6B content-free capture snapshot; numeric capture metrics only	commit group 1; future live writes redirected
initial	M	M	A	skills/prospecting_daily_run/SKILL.md	AOS-2026-0131 draft-only prospecting integration	commit group 2
initial	M	M	A	tests/test_aos_codex_policy.py	fresh Codex route regression extension	commit group 3
initial	M	M	A	tests/test_aos_orchestration.py	AOS-2026-0164/0165 routing and notification coverage	commit group 3
initial	M	M	A	tests/test_aos_queue.py	queue heartbeat/lease and runner coverage	commit group 3
initial	M	M	A	tests/test_business_brain_context.py	global technical classification regression	commit group 5
initial	M	M	A	tests/test_telegram_bridge_formatting.py	accepted formatting tests; test file safe, bridge interior not opened	commit group 3
initial	M	M	A	tools/aos-hermes-coordinator.sh	accepted canonical Hermes/Claude launch routing	commit group 3
initial	M	M	A	tools/aos-linux-runtime.sh	accepted desktop cleanup plus canonical external runner discovery	commit group 3
initial	M	M	A	tools/aos-orchestration-runner.py	accepted detached executor and lease work	commit group 3
initial	M	M	A	tools/aos-queue.py	accepted heartbeat/runtime identity work	commit group 3
initial	M	M	A	tools/aos_indexer.py	Gmail private runtime search exclusion	commit group 2
initial	M	M	A	tools/aos_orchestration.py	accepted title-first notifications and attachment evidence	commit group 3
initial	M	M	A	tools/business_brain_context.py	global technical-only classification repair	commit group 5
initial	M	M	A	workflows/prospecting_daily_run/workflow.md	AOS-2026-0131 draft-only prospecting workflow	commit group 2
initial	D	clean-restored	G	workflows/queue_artifacts/direct_token_repair_clean_split.md	tracked token-repair proof from accepted commit lineage	restored byte-identical to HEAD
initial	??	??	A	connectors/gmail_draft_adapter.py	AOS-2026-0131 done; idempotent draft adapter tests pass	commit group 2
initial	??	??	A	connectors/gmail_draft_policy.py	AOS-2026-0131 draft-only authority tests pass	commit group 2
initial	??	??	A	dashboard/frontend/src/laneWorkspaceActions.js	AOS-2026-0172 done; action tests pass	commit group 4
initial	??	??	A	dashboard/frontend/src/laneWorkspaceState.js	AOS-2026-0171 done; state tests pass	commit group 4
initial	??	??	A	dashboard/frontend/src/views/LaneWorkspace.jsx	AOS-2026-0171 done; component/build pass	commit group 4
initial	??	??	A	dashboard/frontend/tests/laneWorkspaceActions.test.js	AOS-2026-0172 regression coverage	commit group 4
initial	??	??	A	dashboard/frontend/tests/laneWorkspaceComponent.test.js	AOS-2026-0171/0172 regression coverage	commit group 4
initial	??	??	A	dashboard/frontend/tests/laneWorkspaceState.test.js	AOS-2026-0171 regression coverage	commit group 4
